user_id,item_id,rating,user_idx,item_idx
129114153,Dota 2,10.0,3541,52
96249915,Champions Online,3.0,2435,671
78341587,Blacklight Retribution,2.0,365,404
52038938,Empire Total War,10.0,4591,106
98848653,Terraria,2.0,3063,98
51822361,"Warhammer 40,000 Dawn of War II",1.0,3985,177
194071007,Team Fortress 2,10.0,592,51
26729643,S.T.A.L.K.E.R. Clear Sky,1.0,1112,12
116482142,Two Worlds II,6.0,4179,420
94851051,Chivalry Medieval Warfare,6.0,4095,237
160469883,DC Universe Online,4.0,472,165
224754050,Counter-Strike Global Offensive,2.0,3140,54
193196975,Garry's Mod,8.0,2829,68
40080833,Football Manager 2011,3.0,3077,230
180901075,Counter-Strike,10.0,2401,71
180438232,Team Fortress 2,2.0,3100,51
108639015,Medieval II Total War,2.0,2606,194
99264709,Dota 2,3.0,1916,52
55975168,Don't Starve,2.0,1665,122
61070572,Counter-Strike Global Offensive,10.0,3906,54
271013192,Rust,10.0,619,157
115784259,Arma 3,7.0,3962,142
141950398,Dota 2,10.0,1046,52
11978743,Call of Duty Black Ops II,5.0,1161,335
43908860,Call of Duty Modern Warfare 3 - Multiplayer,8.0,172,134
269034196,Unturned,10.0,4002,74
93275329,Call of Duty Modern Warfare 2 - Multiplayer,8.0,2061,46
194432540,APB Reloaded,2.0,3001,324
20200395,Torchlight II,2.0,154,116
190060278,Robocraft,1.0,3601,129
140580839,Dota 2,10.0,4196,52
118723066,Scribblenauts Unlimited,5.0,3099,224
30246419,Middle-earth Shadow of Mordor,5.0,2234,24
257256783,PAYDAY 2,1.0,1458,109
82536970,Sid Meier's Civilization V,10.0,4074,120
209869297,H1Z1,1.0,3589,336
144387163,Football Manager 2015,10.0,4232,229
300669819,Unturned,7.0,4070,74
162740609,Return to Castle Wolfenstein,7.0,3331,1164
130280718,Garry's Mod,2.0,92,68
61506388,Portal 2,1.0,1517,22
131348564,Sid Meier's Civilization V,4.0,2804,120
258530685,Sakura Clicker,10.0,1818,673
209718563,No More Room in Hell,10.0,2558,102
48386574,Metro 2033,2.0,4325,304
134322141,Team Fortress 2,7.0,3663,51
48028873,Far Cry 4,1.0,386,15
308695132,Champions Online,9.0,893,671
26762388,Sleeping Dogs,1.0,4001,33
49462664,DC Universe Online,1.0,1642,165
59332369,Serious Sam HD The Second Encounter,3.0,4446,278
131785763,Team Fortress 2,10.0,727,51
714122,Football Manager 2009,10.0,3214,784
3979930,Fallout New Vegas,3.0,4725,203
125682446,GRID 2,1.0,4610,503
20566124,Half-Life 2,8.0,4600,37
116617462,Medieval II Total War,2.0,670,194
275875486,Garry's Mod,7.0,4123,68
82385352,Star Wars - Jedi Knight II Jedi Outcast,1.0,2947,827
19696244,The Elder Scrolls V Skyrim,10.0,2937,0
153148942,Dota 2,10.0,3947,52
45592640,Railroad Tycoon 2 Platinum,1.0,3122,1130
99264709,APB Reloaded,1.0,1916,324
277921358,Team Fortress 2,10.0,2638,51
105277989,Age of Empires III Complete Collection,10.0,2762,334
150991587,Dota 2,10.0,1785,52
74497511,Call of Duty Black Ops,10.0,3466,135
80022321,X-COM Interceptor,1.0,288,381
133573140,Counter-Strike Global Offensive,10.0,1159,54
15095770,Worms Reloaded,8.0,1518,339
273437868,FEZ,10.0,2659,560
200036280,War Thunder,2.0,1193,144
50769696,Football Manager 2012,10.0,1307,228
107913460,Mass Effect 2,4.0,2072,196
107984181,Team Fortress 2,10.0,4109,51
115037563,Team Fortress 2,3.0,425,51
169929928,Sniper Elite V2,6.0,4305,133
98463542,Counter-Strike Global Offensive,10.0,493,54
120523185,Trine 2,3.0,1819,821
247195205,Terraria,10.0,4113,98
120523185,Transistor,4.0,1819,660
23386002,Half-Life Source,1.0,1701,402
80511960,Battlefield Bad Company 2,3.0,4661,107
24632218,Batman Arkham City GOTY,2.0,4252,27
168881981,Counter-Strike Global Offensive,10.0,2703,54
232593507,APB Reloaded,10.0,1667,324
8784496,Titan Quest Immortal Throne,3.0,3098,132
152476584,Serious Sam HD The Second Encounter,10.0,1843,278
222180483,Counter-Strike Global Offensive,10.0,4722,54
169808233,Dota 2,10.0,1507,52
124070622,Killing Floor,2.0,1255,299
92958887,Batman Arkham City GOTY,4.0,2533,27
158974308,Grand Theft Auto V,10.0,3912,4
24469287,StarDrive,4.0,654,582
177625788,Undertale,3.0,4099,442
146007471,Dota 2,10.0,1889,52
73564778,Rayman Legends,2.0,2551,271
40212239,Batman Arkham Origins,1.0,3321,174
97782908,South Park The Stick of Truth,5.0,2272,32
104159428,PAYDAY 2,3.0,1512,109
285386664,Dota 2,10.0,3558,52
199899325,Unturned,10.0,321,74
152959594,TERA,10.0,1021,432
131444737,Dota 2,3.0,2038,52
177625788,Starbound,6.0,4099,118
274785080,Team Fortress 2,10.0,957,51
229794682,Team Fortress 2,10.0,3339,51
118852041,Counter-Strike Global Offensive,10.0,2792,54
201768926,Team Fortress 2,10.0,3794,51
19085114,Killing Floor,8.0,3473,299
67492611,PAYDAY 2,2.0,598,109
94229851,Next Car Game Wreckfest,5.0,4729,1116
182326985,Sid Meier's Civilization V,10.0,3919,120
246452376,Batman Arkham Origins,10.0,1803,174
136998614,Counter-Strike Global Offensive,5.0,761,54
179481154,Counter-Strike Global Offensive,10.0,151,54
239050395,Dota 2,10.0,1637,52
96588736,Marvel Heroes 2015,3.0,1741,185
9845449,Planets Under Attack,7.0,4387,1329
24632218,Dishonored,3.0,4252,466
101212067,Sid Meier's Civilization V,1.0,2918,120
159677499,PAYDAY 2,3.0,840,109
81170946,Call of Duty Black Ops - Multiplayer,4.0,3914,48
131023125,The Elder Scrolls V Skyrim,10.0,1338,0
70779914,Sid Meier's Civilization V,10.0,2478,120
140825164,Ascend Hand of Kul,1.0,514,531
114447625,Team Fortress 2,10.0,2717,51
150135487,Garry's Mod,7.0,3998,68
9209946,Counter-Strike,10.0,4037,71
101596530,Broforce,6.0,3253,533
274785080,Unturned,1.0,957,74
182390817,Garry's Mod,10.0,1895,68
75240572,Fallout New Vegas,3.0,3720,203
59925638,Sid Meier's Civilization Beyond Earth,2.0,3968,266
161896440,Metro 2033 Redux,1.0,4761,1071
112849197,Call of Duty Modern Warfare 2 - Multiplayer,3.0,4064,46
223064225,BeamNG.drive,2.0,920,679
59205262,Grand Theft Auto V,1.0,2025,4
90272527,Terraria,6.0,2546,98
150397316,PAYDAY 2,5.0,758,109
278825568,Dirty Bomb,1.0,899,514
33706322,Fallout New Vegas,4.0,1297,203
198350948,Dota 2,10.0,1676,52
156565178,Fallout 4,8.0,2616,1
125682446,Grand Theft Auto V,10.0,4610,4
35729292,Counter-Strike Source,2.0,556,49
58297398,Counter-Strike,10.0,3560,71
122658341,Counter-Strike Global Offensive,10.0,3640,54
81901544,Portal 2,10.0,3184,22
71335402,Arma 3,6.0,4557,142
159922493,Heroes & Generals,6.0,4547,108
81170946,Grand Theft Auto III,1.0,3914,403
40212239,Pillars of Eternity,2.0,3321,470
67713900,Empire Total War,10.0,1101,106
116912767,Left 4 Dead 2,1.0,2317,6
191126693,Middle-earth Shadow of Mordor,3.0,1525,24
82203951,Garry's Mod,10.0,2831,68
18897058,Mafia II,10.0,1833,57
143124637,Neverwinter,10.0,1176,232
15415372,Fallout New Vegas,1.0,1323,203
221823551,Counter-Strike Global Offensive,10.0,3097,54
80351692,Age of Empires III Complete Collection,2.0,1924,334
45459546,Counter-Strike,10.0,4677,71
303007171,Day of Defeat,1.0,1105,556
193956726,No More Room in Hell,3.0,2514,102
175263669,How to Survive,1.0,4306,665
169929928,Afterfall InSanity Extended Edition,1.0,4305,114
201173206,TERA,2.0,3376,432
108560573,Sniper Elite V2,10.0,93,133
182604873,Sid Meier's Civilization V,10.0,2592,120
233277671,The Elder Scrolls V Skyrim,10.0,485,0
86182317,PAYDAY 2,4.0,3439,109
181593489,Terraria,10.0,1157,98
156675178,Singularity,3.0,2044,952
291482664,Team Fortress 2,10.0,3197,51
80189887,DARK SOULS II,1.0,1524,222
157235483,The Elder Scrolls V Skyrim,2.0,4556,0
38465050,LEGO The Lord of the Rings,2.0,2174,240
3979930,Arma 2 Operation Arrowhead,1.0,4725,146
243077634,BLOCKADE 3D,10.0,3027,535
49312497,Counter-Strike Source,10.0,843,49
296979815,Crusaders of the Lost Idols,10.0,2571,1044
51557405,Beat Hazard,3.0,2178,986
62990992,Total War ROME II - Emperor Edition,3.0,2834,111
39037163,Team Fortress 2,10.0,1386,51
32644336,Tom Clancy's Splinter Cell Blacklist,2.0,2515,757
30172489,Call of Duty Black Ops II - Multiplayer,4.0,2476,128
85935348,Chivalry Medieval Warfare,5.0,1979,237
65342306,Orcs Must Die! 2,1.0,924,430
260538236,Robocraft,10.0,1795,129
80341091,Team Fortress 2,10.0,4254,51
117022366,Euro Truck Simulator 2,10.0,4139,258
100444456,WAKFU,4.0,3341,117
256819019,Unturned,10.0,3319,74
67579257,Test Drive Unlimited 2,1.0,3857,525
88705345,Unturned,6.0,4765,74
130534025,Mount & Blade Warband,10.0,2339,72
169653526,Rust,5.0,3619,157
51557405,The Secret of Monkey Island Special Edition,1.0,2178,988
80502960,Total War SHOGUN 2,10.0,1479,192
44482198,Fallout New Vegas,2.0,279,203
56436338,Football Manager 2011,3.0,3153,230
134967717,LEGO The Hobbit,1.0,547,182
151015947,Mitos.is The Game,1.0,1585,256
86469479,"Warhammer 40,000 Dawn of War II",1.0,1747,177
64350600,Counter-Strike,10.0,35,71
176967288,World of Guns Gun Disassembly,1.0,3060,680
26729643,Path of Exile,2.0,1112,309
116515230,Wargame AirLand Battle,2.0,2805,328
28648610,Dota 2,1.0,1427,52
104802064,Team Fortress 2,10.0,1787,51
36404933,Fallout 4,2.0,4617,1
66403743,Counter-Strike,10.0,2505,71
106760673,Half-Life 2,2.0,224,37
193087158,Grand Theft Auto V,10.0,3266,4
143459727,Dota 2,10.0,112,52
239413586,Counter-Strike Global Offensive,3.0,1267,54
81743539,Endless Space,10.0,104,234
198735293,Garry's Mod,7.0,4551,68
172518437,Prison Architect,6.0,3771,154
50229934,XCOM Enemy Unknown,10.0,4170,138
186287462,F1 2015,3.0,4684,1221
196558392,Clicker Heroes,10.0,2120,371
94299484,Terraria,2.0,4223,98
66255019,Divinity Original Sin,3.0,1385,360
155003926,Counter-Strike Global Offensive,10.0,3852,54
124641717,Dota 2,10.0,1704,52
164097534,Medieval Engineers,1.0,4164,999
33518079,Half-Life 2,1.0,3525,37
24469287,RAGE,1.0,654,594
160042745,Dota 2,10.0,1148,52
62486194,Total War SHOGUN 2,7.0,3180,192
26302344,Darkstone,2.0,3200,1142
71411882,Max Payne 3,3.0,1486,273
132748085,Counter-Strike Global Offensive,10.0,2978,54
39082468,Sid Meier's Civilization V,10.0,643,120
111212436,DC Universe Online,2.0,2437,165
2184507,Counter-Strike,10.0,3498,71
187999074,Marvel Heroes 2015,10.0,4210,185
202057920,Grand Theft Auto V,1.0,1498,4
113260911,Football Manager 2013,10.0,789,251
59662830,Dota 2,10.0,3265,52
174386411,Archeblade,1.0,1775,356
29239329,Deus Ex Human Revolution,2.0,1242,23
80189887,PAYDAY 2,3.0,1524,109
198346312,Kerbal Space Program,10.0,106,239
106147454,Sniper Elite Nazi Zombie Army,2.0,477,510
300643399,Counter-Strike Global Offensive,10.0,1589,54
150326378,Counter-Strike Global Offensive,6.0,3973,54
119619506,Garry's Mod,3.0,1848,68
113039667,Dota 2,10.0,946,52
126595775,DayZ,6.0,4386,36
156071982,Tactical Intervention,1.0,2390,532
158476996,The Elder Scrolls V Skyrim,5.0,557,0
167302978,Fallout 4,4.0,1357,1
196066421,Team Fortress 2,2.0,1630,51
136668535,Grand Theft Auto IV,3.0,2566,374
138941587,Audiosurf,1.0,1570,95
54826284,Sid Meier's Civilization V,6.0,1510,120
208879416,Counter-Strike Global Offensive,10.0,2619,54
124663731,Baldur's Gate Enhanced Edition,10.0,3520,1055
90272527,Dead Island,1.0,2546,130
19696244,Killing Floor,2.0,2937,299
129925351,Path of Exile,10.0,3614,309
156733822,Team Fortress 2,2.0,2933,51
81678279,Call of Duty Modern Warfare 3 - Multiplayer,4.0,4039,134
15196746,Besiege,2.0,1764,456
61676491,Counter-Strike Source,10.0,180,49
211454678,Tom Clancy's Ghost Recon Phantoms - NA,3.0,2587,204
196595568,7 Days to Die,1.0,4160,67
54310644,Far Cry 3,1.0,3687,11
227863185,Team Fortress 2,10.0,673,51
23608098,Age of Empires II HD Edition,1.0,2522,44
87341384,METAL GEAR RISING REVENGEANCE,1.0,780,526
51132884,Need for Speed Hot Pursuit,1.0,2681,447
30739537,Counter-Strike,10.0,3944,71
156071982,Garry's Mod,8.0,2390,68
294620986,PAYDAY 2,10.0,3735,109
27545486,Euro Truck Simulator 2,3.0,3315,258
14465359,Counter-Strike Global Offensive,10.0,3844,54
67579257,Grand Theft Auto V,1.0,3857,4
70408902,Star Wars Jedi Knight Jedi Academy,1.0,1459,275
80145435,Call of Juarez Gunslinger,1.0,2346,221
151256632,Outlast,1.0,3280,316
246439849,Counter-Strike Global Offensive,10.0,1154,54
74764496,DiRT Rally,1.0,4479,1277
119310413,Need for Speed Hot Pursuit,1.0,1372,447
272499996,Brawlhalla,2.0,1073,314
65350586,Hard Reset,8.0,3750,1240
45974860,Cities Skylines,1.0,613,155
46030552,Counter-Strike Source,9.0,4260,49
47384303,Age of Empires Online,5.0,4645,611
33910513,Just Cause 2,10.0,1956,19
32577778,RaceRoom Racing Experience ,10.0,4586,357
33865373,The Elder Scrolls III Morrowind,2.0,1722,776
42657809,NBA 2K15,1.0,4735,791
103638409,The Elder Scrolls V Skyrim,8.0,4071,0
42849279,Football Manager 2012,3.0,2359,228
62705916,Crusader Kings II,5.0,2443,301
285252660,Counter-Strike Nexon Zombies,10.0,1183,104
71704418,Call of Duty Modern Warfare 3 - Multiplayer,3.0,508,134
70408902,Fallout 4,1.0,1459,1
17530772,Middle-earth Shadow of Mordor,1.0,2609,24
33993318,Counter-Strike Source,10.0,1329,49
51085779,Space Engineers,3.0,1592,242
106147454,7 Days to Die,3.0,477,67
24469287,FTL Faster Than Light,2.0,654,42
172470005,Counter-Strike Global Offensive,10.0,1040,54
64369759,Aliens vs. Predator,1.0,66,190
124462762,Empire Total War,10.0,91,106
160299889,Sid Meier's Civilization V,6.0,2366,120
124878949,Sid Meier's Civilization V,3.0,1066,120
153431729,Dota 2,10.0,2474,52
60910490,Football Manager 2010,10.0,3273,329
38323067,Warframe,10.0,971,250
168571967,Blood Bowl Chaos Edition,10.0,1561,570
106956838,PAYDAY The Heist,2.0,3405,112
65117175,Thomas Was Alone,1.0,16,88
105788297,Warframe,4.0,2573,250
93882483,Call of Duty Black Ops II,1.0,2440,335
62878249,Orcs Must Die! 2,2.0,939,430
278613910,Grand Theft Auto V,10.0,1358,4
60859324,ARK Survival Evolved,3.0,1098,50
165565786,Team Fortress 2,10.0,659,51
49462664,APB Reloaded,3.0,1642,324
148674157,Archeblade,2.0,1321,356
85935348,Portal 2,8.0,1979,22
88035166,Out of the Park Baseball 15,8.0,1929,785
39899978,The Walking Dead Season Two,3.0,3610,664
79073449,The Witcher 3 Wild Hunt,8.0,2452,195
278209338,Counter-Strike Nexon Zombies,10.0,591,104
181002117,Left 4 Dead 2,4.0,3892,6
73495968,Dark Souls Prepare to Die Edition,3.0,3902,295
95380196,Call of Duty Ghosts,10.0,3779,521
50769696,The Sims(TM) 3,2.0,1307,100
54507379,Don't Starve,3.0,1378,122
107124497,Warmachine Tactics,8.0,4660,1369
308402974,Dirty Bomb,10.0,1549,514
196595568,Borderlands 2,2.0,4160,127
236394893,Garry's Mod,10.0,3414,68
83770731,Batman Arkham City GOTY,6.0,3245,27
48149238,Mount & Blade Warband,3.0,1871,72
107913460,Mass Effect,4.0,2072,171
120139965,Dear Esther,5.0,2035,948
56219610,Total War SHOGUN 2,2.0,1466,192
145646661,Dota 2,10.0,870,52
45774794,Company of Heroes 2,1.0,1407,137
11970504,Robocraft,2.0,3500,129
242572214,ARK Survival Evolved,10.0,3499,50
45974860,Torchlight II,2.0,613,116
139187216,Dota 2,10.0,2145,52
209917929,This War of Mine,3.0,3887,158
201708562,Dota 2,10.0,3208,52
221775355,Unturned,10.0,3935,74
24632218,Starbound,3.0,4252,118
59925638,Deus Ex Human Revolution,3.0,3968,23
218323237,Dota 2,10.0,5,52
106235885,SpeedRunners,10.0,366,452
40280688,Left 4 Dead 2,2.0,2850,6
79865632,"Warhammer 40,000 Dawn of War II  Retribution",10.0,2883,215
221952355,Dota 2,10.0,156,52
165073598,Terraria,2.0,4623,98
224070533,The Elder Scrolls V Skyrim,10.0,3545,0
202057920,NBA 2K15,10.0,1498,791
191988742,Garry's Mod,10.0,3838,68
17530772,Elite Dangerous,1.0,2609,249
250826540,Realm of the Mad God,10.0,1826,453
60706503,Call of Duty Ghosts,2.0,2649,521
285869008,Cossacks Back to War,7.0,4687,1372
24632218,Call of Duty 4 Modern Warfare,2.0,4252,549
12130111,Desktop Dungeons,3.0,697,616
7907686,Left 4 Dead,2.0,2495,99
81170946,Terraria,6.0,3914,98
53875128,Dust An Elysian Tail,2.0,2,30
28472068,Counter-Strike Source,2.0,2489,49
245859173,Trove,1.0,1027,408
92276000,Terraria,10.0,4673,98
82046939,APB Reloaded,1.0,681,324
1612666,L.A. Noire,1.0,898,400
32467994,Shadowrun Returns,1.0,298,391
65117175,The Wonderful End of the World,2.0,16,85
142799594,Counter-Strike Global Offensive,10.0,1530,54
148631188,Dota 2,10.0,1232,52
118852041,Call of Duty World at War,2.0,2792,461
215380327,Nosgoth,1.0,1181,58
48386574,Cities Skylines,7.0,4325,155
68316900,L.A. Noire,2.0,309,400
176414861,Dota 2,10.0,3967,52
264626784,Counter-Strike Global Offensive,10.0,4700,54
161896440,Metro Last Light,1.0,4761,462
65350586,Serious Sam 3 BFE,9.0,3750,580
264438536,Team Fortress 2,10.0,1806,51
161759944,Defiance,1.0,4268,537
53875128,Far Cry 3,4.0,2,11
266874064,Counter-Strike Global Offensive,10.0,2458,54
186310598,Robocraft,2.0,1634,129
167901416,Day of Defeat Source,1.0,3629,480
122956129,Trove,5.0,3068,408
117531196,The Witcher 2 Assassins of Kings Enhanced Edition,2.0,255,193
233424343,Borderlands The Pre-Sequel,2.0,818,243
174838943,Counter-Strike Global Offensive,6.0,4360,54
156460514,XCOM Enemy Unknown,10.0,2135,138
76420334,Fallout 4,2.0,593,1
120139965,Goat Simulator,2.0,2035,633
91800733,Fallout 4,10.0,217,1
104159428,Farming Simulator 15,1.0,1512,483
117312360,Football Manager 2014,2.0,742,252
234621077,Counter-Strike Global Offensive,10.0,3719,54
163432200,South Park The Stick of Truth,2.0,4299,32
75463760,Software Inc.,1.0,1522,844
215253129,Warface,4.0,4081,267
156675178,Bulletstorm,2.0,2044,555
87201181,Counter-Strike Source,8.0,4737,49
170201716,Aliens Colonial Marines,1.0,3597,511
199085938,Tom Clancy's Ghost Recon Phantoms - NA,10.0,2108,204
44021324,BioShock,3.0,571,186
148674157,Counter-Strike Global Offensive,3.0,1321,54
34858979,Counter-Strike Source,10.0,2270,49
10144504,Half-Life 2 Episode Two,10.0,1144,280
105243827,Tom Clancy's Rainbow Six Siege,1.0,3707,261
108639015,Total War SHOGUN 2,6.0,2606,192
49769103,Counter-Strike Source,4.0,27,49
237704278,Fallout New Vegas,1.0,4613,203
98848653,Warframe,10.0,3063,250
22301321,PAYDAY 2,2.0,1964,109
57103808,Insurgency,2.0,52,5
189858084,Half-Life Source,5.0,500,402
34901647,Left 4 Dead 2,2.0,4748,6
125589748,Dota 2,3.0,1681,52
101596530,Call of Duty Modern Warfare 3 - Multiplayer,7.0,3253,134
64971477,Loadout,10.0,413,369
109780632,Portal 2,10.0,2836,22
58345543,Spiral Knights,10.0,4278,227
59945701,Ultra Street Fighter IV,10.0,1,2
130201800,The Elder Scrolls V Skyrim,9.0,110,0
247912887,Toribash,1.0,1319,333
41883322,Lords Of The Fallen,2.0,80,214
177625788,The Elder Scrolls V Skyrim,9.0,4099,0
17530772,H1Z1,2.0,2609,336
63441045,Call of Duty Black Ops,10.0,2328,135
161659407,Star Wars - Jedi Knight II Jedi Outcast,1.0,2187,827
44482198,EVE Online,5.0,279,126
205058166,Garry's Mod,1.0,4140,68
150909485,Dota 2,5.0,4056,52
271279768,Team Fortress 2,10.0,3764,51
114000267,FINAL FANTASY VII,10.0,3795,285
68316900,BioShock Infinite,2.0,309,270
58297398,Call of Duty Modern Warfare 2 - Multiplayer,1.0,3560,46
118838369,Trine 3 The Artifacts of Power,1.0,3113,1115
88937470,Plants vs. Zombies Game of the Year,10.0,3434,294
47063596,Call of Duty Modern Warfare 2 - Multiplayer,6.0,3487,46
83336644,Call of Duty Modern Warfare 2 - Multiplayer,10.0,1960,46
252345719,Trove,10.0,1737,408
12130111,The Sims(TM) 3,10.0,697,100
100818860,Saints Row The Third,3.0,4676,10
44010163,Borderlands 2,2.0,3903,127
77194239,Max Payne 3,1.0,2652,273
58930204,Football Manager 2012,10.0,1501,228
82020006,Call of Duty Modern Warfare 3,1.0,559,159
51557405,Cities Skylines,4.0,2178,155
250828184,Star Wars The Force Unleashed Ultimate Sith Edition,10.0,767,631
123625432,Call of Duty Black Ops II - Multiplayer,2.0,2378,128
24858005,Call of Duty Modern Warfare 2 - Multiplayer,10.0,3949,46
65350586,Call of Duty Modern Warfare 3,2.0,3750,159
58345543,BioShock Infinite,2.0,4278,270
153076975,Train Simulator,8.0,4522,340
158324196,Counter-Strike Global Offensive,7.0,3668,54
102552233,Dishonored,2.0,1304,466
74347105,Call of Duty Black Ops II - Multiplayer,5.0,524,128
195105416,Team Fortress 2,10.0,3482,51
79243080,Terraria,6.0,3920,98
49832324,Counter-Strike Source,5.0,4149,49
154296520,Warframe,6.0,4356,250
49630184,Mass Effect,5.0,1874,171
144845684,Grand Theft Auto V,10.0,3603,4
128964236,Homefront,2.0,328,417
71411882,Foreign Legion Buckets of Blood,2.0,1486,835
12610800,Dark Souls Prepare to Die Edition,4.0,347,295
113186568,Left 4 Dead 2,2.0,2432,6
33457161,Counter-Strike,10.0,4375,71
1612666,Hitman Absolution,4.0,898,161
137334839,Dota 2,6.0,4167,52
90956570,Neverwinter,2.0,1106,232
33518079,Left 4 Dead 2,6.0,3525,6
107913460,The Elder Scrolls V Skyrim,10.0,2072,0
126796140,Call of Duty Black Ops II - Multiplayer,10.0,3082,128
50744279,Age of Wonders III,7.0,677,592
114727578,Left 4 Dead 2,1.0,3248,6
60611062,Team Fortress 2,1.0,3429,51
138279635,Defense Grid 2,3.0,2990,870
53875128,Just Cause 2,3.0,2,19
89752173,Call of Duty Black Ops,2.0,1359,135
27403206,Mass Effect 2,2.0,2102,196
117531196,Fallout New Vegas,3.0,255,203
210046841,Team Fortress 2,10.0,2818,51
77214425,Mortal Kombat Komplete Edition,1.0,4193,439
59945701,FINAL FANTASY XIII,4.0,1,3
72996988,War Thunder,3.0,1017,144
111754806,Counter-Strike Global Offensive,10.0,683,54
71498571,Fallen Earth,10.0,4032,722
10302000,Football Manager 2015,10.0,2852,229
156071982,Spore,2.0,2390,362
78671103,DC Universe Online,2.0,2266,165
81556495,Castle Crashers,1.0,788,73
65147980,Terraria,10.0,1820,98
140820563,Portal 2,2.0,4321,22
38465050,Defense Grid The Awakening,7.0,2174,75
53245953,The Elder Scrolls V Skyrim,10.0,2752,0
27545486,Grand Theft Auto V,10.0,3315,4
53875128,Dying Light,3.0,2,18
129391396,Stranded Deep,10.0,3297,613
124437057,Euro Truck Simulator 2,10.0,1744,258
36502549,Sid Meier's Civilization IV Beyond the Sword,8.0,2429,409
32467994,Might & Magic Heroes VI,10.0,298,384
203241031,Defiance,10.0,2269,537
141774640,Realm of the Mad God,10.0,3519,453
251635136,S.T.A.L.K.E.R. Call of Pripyat,2.0,3150,9
140408017,Dota 2,10.0,4309,52
50744279,Cities Skylines,2.0,677,155
1612666,Max Payne 3,6.0,898,273
